Store;DayOfWeek;Date;Sales;Customers;Open;Promo;StateHoliday;SchoolHoliday;StoreType;Assortment;CompetitionDistance;CompetitionOpenSinceMonth;CompetitionOpenSinceYear;Promo2;Promo2SinceWeek;Promo2SinceYear;PromoInterval;State;Latitude;Longitude
593;3;29.07.2015;9,924 €;1186;1;1;0;1;a;c;33060;3;2010;0;;;;Niedersachsen;52,87;7,57
594;3;29.07.2015;4,807 €;495;1;1;0;1;a;a;1790;10;2011;0;;;;Brandenburg;52,84;13,51
595;3;29.07.2015;13,934 €;1592;1;1;0;1;c;c;1130;6;2015;0;;;;Brandenburg;51,77;14,38
596;3;29.07.2015;5,409 €;779;1;1;0;1;c;a;290;9;2006;0;;;;Niedersachsen;52,5;7,99
597;3;29.07.2015;6,087 €;793;1;1;0;1;a;a;150;9;2008;1;1;2012;Mar,Jun,Sept,Dec;Sachsen;50,67;13,16
598;3;29.07.2015;5,865 €;710;1;1;0;0;c;a;550;12;2013;1;40;2014;Jan,Apr,Jul,Oct;Rheinland-Pfalz;50,38;6,6
599;3;29.07.2015;9,021 €;714;1;1;0;1;d;c;580;11;2014;0;;;;Sachsen-Anhalt;51,94;10,96
600;3;29.07.2015;8,824 €;623;1;1;0;1;d;c;17340;6;2010;1;9;2011;Feb,May,Aug,Nov;Bayern;48,12;10,33
601;3;29.07.2015;4,496 €;358;1;1;0;1;d;a;8220;4;2014;1;14;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,9;13,46
602;3;29.07.2015;6,695 €;612;1;1;0;1;a;a;2710;7;2001;1;22;2012;Mar,Jun,Sept,Dec;Schleswig-Holstein;53,95;9,98
603;3;29.07.2015;8,440 €;1043;1;1;0;0;a;a;340;4;2007;1;13;2010;Jan,Apr,Jul,Oct;Thueringen;50,86;11,14
604;3;29.07.2015;8,367 €;554;1;1;0;0;d;a;10950;3;2014;0;;;;Niedersachsen;53,22;7,92
605;3;29.07.2015;8,413 €;540;1;1;0;0;d;a;10310;4;2003;1;37;2009;Jan,Apr,Jul,Oct;Baden-Wuerttemberg;48,66;10,23
606;3;29.07.2015;6,338 €;643;1;1;0;1;a;a;2260;11;2007;0;;;;Nordrhein-Westfalen;50,93;6,85
607;3;29.07.2015;4,259 €;437;1;1;0;1;a;a;350;8;1999;1;14;2011;Jan,Apr,Jul,Oct;Rheinland-Pfalz;49,21;8,15
608;3;29.07.2015;11,366 €;1059;1;1;0;1;a;c;18370;2;2013;1;14;2011;Jan,Apr,Jul,Oct;Bayern;50,29;11,87
609;3;29.07.2015;4,717 €;485;1;1;0;1;a;a;2070;9;2007;0;;;;Sachsen-Anhalt;51,24;11,69
610;3;29.07.2015;4,465 €;527;1;1;0;1;a;a;660;1;2007;0;;;;Mecklenburg-Vorpommern;53,7;13,9
611;3;29.07.2015;6,786 €;507;1;1;0;0;a;a;8080;12;2002;1;40;2014;Jan,Apr,Jul,Oct;Niedersachsen;51,62;10,13
612;3;29.07.2015;7,991 €;417;1;1;0;0;d;c;2490;11;2012;1;31;2009;Jan,Apr,Jul,Oct;Niedersachsen;52,13;10,09
613;3;29.07.2015;6,565 €;917;1;1;0;1;c;a;250;6;2007;1;14;2011;Jan,Apr,Jul,Oct;Rheinland-Pfalz;49,39;7,9
614;3;29.07.2015;7,403 €;1047;1;1;0;1;a;a;1160;12;2012;0;;;;Baden-Wuerttemberg;47,91;8,05
615;3;29.07.2015;11,177 €;1242;1;1;0;1;d;a;730;8;2007;0;;;;Sachsen;50,93;14,36
616;3;29.07.2015;7,544 €;699;1;1;0;1;a;c;3040;8;2011;1;35;2010;Mar,Jun,Sept,Dec;Sachsen-Anhalt;51,8;12,42
617;3;29.07.2015;7,725 €;636;1;1;0;1;a;c;8940;;;1;9;2011;Jan,Apr,Jul,Oct;Bayern;48,79;10,43
618;3;29.07.2015;8,023 €;502;1;1;0;1;d;c;9910;;;0;;;;Brandenburg;52,37;13,85
619;3;29.07.2015;5,278 €;481;1;1;0;0;a;a;1600;6;2006;1;45;2009;Feb,May,Aug,Nov;Mecklenburg-Vorpommern;53,57;12,05
620;3;29.07.2015;9,575 €;767;1;1;0;0;d;c;5440;;;1;40;2014;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;54,41;12,92
621;3;29.07.2015;6,269 €;765;1;1;0;1;a;a;30;7;2002;0;;;;Baden-Wuerttemberg;48,61;9,04
622;3;29.07.2015;5,326 €;468;1;1;0;1;a;c;;;;0;;;;Sachsen;50,83;13,01
623;3;29.07.2015;7,315 €;798;1;1;0;1;a;a;4080;3;2011;1;13;2010;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,95;14,11
624;3;29.07.2015;6,097 €;579;1;1;0;1;a;c;6920;9;2011;0;;;;Nordrhein-Westfalen;51,76;6,83
625;3;29.07.2015;6,492 €;623;1;1;0;1;a;a;1170;4;2011;1;22;2012;Feb,May,Aug,Nov;Sachsen-Anhalt;51,85;11,64
626;3;29.07.2015;10,281 €;793;1;1;0;1;c;c;10740;11;2013;0;;;;Bayern;49,83;9,66
627;3;29.07.2015;7,705 €;676;1;1;0;1;c;c;3970;3;2010;0;;;;Mecklenburg-Vorpommern;53,56;12,95
628;3;29.07.2015;6,633 €;731;1;1;0;1;a;c;2180;;;0;;;;Baden-Wuerttemberg;48,13;9,92
629;3;29.07.2015;6,926 €;555;1;1;0;0;d;a;510;7;2014;1;23;2015;Mar,Jun,Sept,Dec;Baden-Wuerttemberg;48,51;9,81
630;3;29.07.2015;6,767 €;780;1;1;0;1;a;a;1690;4;2015;0;;;;Sachsen;51,21;12,92
631;3;29.07.2015;5,088 €;605;1;1;0;1;d;c;2870;;;1;35;2012;Mar,Jun,Sept,Dec;Nordrhein-Westfalen;51,33;6,95
632;3;29.07.2015;8,047 €;919;1;1;0;1;a;a;3350;2;2010;0;;;;Brandenburg;52,81;14,21
633;3;29.07.2015;7,328 €;524;1;1;0;0;d;a;11640;4;2005;1;22;2011;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,81;7,8
634;3;29.07.2015;7,897 €;673;1;1;0;1;d;a;18610;;;0;;;;Nordrhein-Westfalen;50,78;7,45
635;3;29.07.2015;6,904 €;627;1;1;0;1;a;a;27530;4;2014;0;;;;Hessen;51,2;9,39
636;3;29.07.2015;9,937 €;899;1;1;0;0;c;a;720;10;2004;1;13;2010;Jan,Apr,Jul,Oct;Thueringen;50,97;10,35
637;3;29.07.2015;11,028 €;782;1;1;0;0;d;c;9790;;;1;31;2009;Feb,May,Aug,Nov;Baden-Wuerttemberg;49,74;9,54
638;3;29.07.2015;6,607 €;494;1;1;0;0;d;a;10170;11;2001;0;;;;Rheinland-Pfalz;50,19;7,58
639;3;29.07.2015;4,834 €;488;1;1;0;1;a;a;7780;11;2006;0;;;;Mecklenburg-Vorpommern;54,29;12,71
640;3;29.07.2015;11,408 €;716;1;1;0;1;d;c;8040;;;0;;;;Niedersachsen;52,31;10,21
641;3;29.07.2015;5,842 €;461;1;1;0;1;a;c;610;12;2003;1;36;2013;Mar,Jun,Sept,Dec;Brandenburg;52,53;12,94
642;3;29.07.2015;3,700 €;468;1;1;0;1;c;c;530;4;2005;1;35;2010;Mar,Jun,Sept,Dec;Brandenburg;52,2;13,69
643;3;29.07.2015;7,601 €;825;1;1;0;1;a;a;230;6;2010;1;18;2010;Feb,May,Aug,Nov;Baden-Wuerttemberg;48,58;10,14
644;3;29.07.2015;10,329 €;1038;1;1;0;0;c;a;4030;12;2004;1;14;2011;Jan,Apr,Jul,Oct;Baden-Wuerttemberg;48,58;8,18
645;3;29.07.2015;13,387 €;1443;1;1;0;0;a;a;90;;;1;45;2009;Feb,May,Aug,Nov;Thueringen;50,77;10,76
646;3;29.07.2015;5,551 €;732;1;1;0;0;a;a;620;9;2014;0;;;;Nordrhein-Westfalen;51;6,46
647;3;29.07.2015;6,150 €;614;1;1;0;1;a;c;7420;4;2013;0;;;;Brandenburg;52,45;13,1
648;3;29.07.2015;5,995 €;538;1;1;0;1;d;a;2130;12;2008;0;;;;Sachsen;50,71;12,44
649;3;29.07.2015;3,972 €;350;1;1;0;1;a;a;14570;11;2002;0;;;;Rheinland-Pfalz;50,47;7,14
650;3;29.07.2015;6,926 €;647;1;1;0;0;a;a;1420;10;2012;1;40;2014;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;54,04;12,51
651;3;29.07.2015;7,424 €;877;1;1;0;1;a;a;200;;;0;;;;Niedersachsen;52,63;9,54
652;3;29.07.2015;7,849 €;664;1;1;0;1;a;a;20390;;;0;;;;Sachsen-Anhalt;52,87;11,74
653;3;29.07.2015;5,990 €;453;1;1;0;1;d;c;7520;7;2014;1;45;2009;Feb,May,Aug,Nov;Schleswig-Holstein;54,15;9,81
654;3;29.07.2015;7,895 €;735;1;1;0;1;c;a;6930;9;2006;0;;;;Mecklenburg-Vorpommern;53,64;11,81
655;3;29.07.2015;10,072 €;731;1;1;0;1;d;c;960;11;2012;1;5;2013;Feb,May,Aug,Nov;Schleswig-Holstein;53,92;10,1
656;3;29.07.2015;3,331 €;361;1;1;0;1;d;a;410;4;2009;1;13;2010;Jan,Apr,Jul,Oct;Sachsen;51,39;14,95
657;3;29.07.2015;6,047 €;662;1;1;0;1;c;c;80;1;2006;1;10;2014;Jan,Apr,Jul,Oct;Bayern;50,02;9,55
658;3;29.07.2015;5,921 €;588;1;1;0;1;d;c;520;;;1;37;2009;Jan,Apr,Jul,Oct;Niedersachsen;52,37;9,54
659;3;29.07.2015;6,528 €;703;1;1;0;1;d;a;1590;3;2012;0;;;;Brandenburg;53,35;14,08
660;3;29.07.2015;6,027 €;553;1;1;0;0;a;a;1200;11;2006;1;40;2014;Jan,Apr,Jul,Oct;Bayern;49,38;10,27
661;3;29.07.2015;6,747 €;524;1;1;0;1;d;c;2140;7;2013;0;;;;Hessen;51,06;9,31
662;3;29.07.2015;8,091 €;675;1;1;0;1;d;a;1070;;;0;;;;Bayern;50,15;11,16
663;3;29.07.2015;6,544 €;796;1;1;0;0;a;c;7860;5;2005;0;;;;Rheinland-Pfalz;49,95;6,64
664;3;29.07.2015;5,602 €;601;1;1;0;1;d;c;1680;10;2005;0;;;;Hessen;50,18;8,35
665;3;29.07.2015;9,192 €;1304;1;1;0;1;a;a;90;12;2012;1;14;2011;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;52,31;7,82
666;3;29.07.2015;9,691 €;721;1;1;0;0;c;c;2700;;;1;9;2011;Mar,Jun,Sept,Dec;Brandenburg;52,4;12,79
667;3;29.07.2015;9,520 €;757;1;1;0;1;d;c;2870;9;2012;0;;;;Mecklenburg-Vorpommern;53,8;11,66
668;3;29.07.2015;9,374 €;1100;1;1;0;1;c;a;1270;9;2010;0;;;;Mecklenburg-Vorpommern;53,84;12,7
669;3;29.07.2015;5,897 €;461;1;1;0;0;d;a;17080;7;2012;1;31;2013;Jan,Apr,Jul,Oct;Niedersachsen;53,02;10,46
670;3;29.07.2015;7,557 €;716;1;1;0;0;a;a;2060;;;1;45;2009;Feb,May,Aug,Nov;Mecklenburg-Vorpommern;53,96;11,22
671;3;29.07.2015;8,817 €;737;1;1;0;0;a;c;2070;2;2008;1;39;2010;Jan,Apr,Jul,Oct;Bayern;49,96;9,65
672;3;29.07.2015;9,060 €;1302;1;1;0;1;c;a;240;9;2002;0;;;;Bayern;49,88;11,98
673;3;29.07.2015;10,239 €;673;1;1;0;0;d;c;15170;;;1;5;2013;Feb,May,Aug,Nov;Sachsen;50,55;12,48
674;3;29.07.2015;9,011 €;1033;1;1;0;1;a;a;2640;12;2005;1;31;2013;Feb,May,Aug,Nov;Sachsen;51,54;14,55
675;3;29.07.2015;3,900 €;377;1;1;0;1;a;a;2100;8;2013;1;14;2011;Jan,Apr,Jul,Oct;Bayern;50,13;11,98
676;3;29.07.2015;8,778 €;1837;1;1;0;1;b;b;1410;9;2008;0;;;;Sachsen;51,13;14,9
677;3;29.07.2015;7,937 €;574;1;1;0;0;d;a;1740;6;2014;1;45;2009;Feb,May,Aug,Nov;Bayern;48,38;13,37
678;3;29.07.2015;7,789 €;751;1;1;0;1;c;a;3250;;;1;40;2011;Jan,Apr,Jul,Oct;Bayern;49,32;10,75
679;3;29.07.2015;10,044 €;1015;1;1;0;1;a;a;4140;9;2012;0;;;;Mecklenburg-Vorpommern;53,83;11,32
680;3;29.07.2015;5,993 €;854;1;1;0;1;c;a;170;;;1;35;2012;Mar,Jun,Sept,Dec;Sachsen-Anhalt;52,51;11,01
681;3;29.07.2015;4,778 €;569;1;1;0;1;a;c;620;;;1;1;2014;Mar,Jun,Sept,Dec;Hessen;50,82;8,96
682;3;29.07.2015;12,320 €;1828;1;1;0;1;b;a;150;9;2006;0;;;;Baden-Wuerttemberg;49,2;8,87
683;3;29.07.2015;8,559 €;796;1;1;0;1;a;a;2850;7;2014;0;;;;Niedersachsen;52,49;10,44
684;3;29.07.2015;10,880 €;748;1;1;0;0;d;c;680;;;1;22;2012;Jan,Apr,Jul,Oct;Bayern;49,07;11,17
685;3;29.07.2015;7,059 €;586;1;1;0;1;a;a;650;11;2013;1;37;2009;Jan,Apr,Jul,Oct;Niedersachsen;51,86;10,26
686;3;29.07.2015;6,911 €;757;1;1;0;1;a;a;20050;4;2002;0;;;;Hessen;50,84;8,98
687;3;29.07.2015;9,826 €;736;1;1;0;1;d;c;2770;;;0;;;;Saarland;49,42;6,75
688;3;29.07.2015;4,227 €;367;1;1;0;1;a;a;18760;8;2015;1;14;2011;Jan,Apr,Jul,Oct;Baden-Wuerttemberg;48,62;9,05
689;3;29.07.2015;6,231 €;592;1;1;0;1;d;a;15040;10;2004;0;;;;Nordrhein-Westfalen;51,25;6,87
690;3;29.07.2015;6,170 €;787;1;1;0;1;a;a;100;;;0;;;;Nordrhein-Westfalen;51,25;6,45
691;3;29.07.2015;7,751 €;514;1;1;0;1;d;c;3030;;;1;37;2009;Jan,Apr,Jul,Oct;Thueringen;51,39;10,99
692;3;29.07.2015;6,426 €;691;1;1;0;1;a;a;40;8;2001;0;;;;Niedersachsen;53,28;9,88
693;3;29.07.2015;7,470 €;520;1;1;0;1;d;a;450;;;1;40;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;54,07;13,24
694;3;29.07.2015;9,373 €;784;1;1;0;0;a;c;460;11;2012;1;40;2014;Jan,Apr,Jul,Oct;Brandenburg;52,54;14,47
695;3;29.07.2015;8,145 €;562;1;1;0;1;a;a;550;7;2011;1;1;2012;Jan,Apr,Jul,Oct;Sachsen-Anhalt;51,79;10,73
696;3;29.07.2015;9,778 €;968;1;1;0;1;a;c;430;;;0;;;;Nordrhein-Westfalen;50,49;6,86
697;3;29.07.2015;10,542 €;908;1;1;0;1;d;a;3780;;;1;40;2011;Jan,Apr,Jul,Oct;Sachsen-Anhalt;52,73;12,08
698;3;29.07.2015;16,845 €;1817;1;1;0;1;a;a;1790;5;2011;0;;;;Thueringen;50,48;11,96
699;3;29.07.2015;9,366 €;1033;1;1;0;1;a;a;180;;;1;5;2013;Jan,Apr,Jul,Oct;Niedersachsen;53,7;8,97
700;3;29.07.2015;5,452 €;572;1;1;0;1;a;c;830;;;1;27;2013;Jan,Apr,Jul,Oct;Rheinland-Pfalz;50,1;6,53
701;3;29.07.2015;8,070 €;697;1;1;0;0;d;a;1450;3;2012;1;14;2011;Jan,Apr,Jul,Oct;Brandenburg;52,94;14,04
702;3;29.07.2015;4,321 €;362;1;1;0;0;a;a;8550;9;2001;1;45;2009;Feb,May,Aug,Nov;Sachsen-Anhalt;51,6;12,09
703;3;29.07.2015;3,484 €;353;1;1;0;1;a;a;80;6;2005;0;;;;Mecklenburg-Vorpommern;53,27;13,26
704;3;29.07.2015;10,613 €;1064;1;1;0;1;d;c;1910;4;2009;0;;;;Thueringen;51,3;10,97
705;3;29.07.2015;7,271 €;843;1;1;0;1;a;a;4140;9;2012;1;18;2011;Feb,May,Aug,Nov;Niedersachsen;52,44;9,51
706;3;29.07.2015;6,699 €;530;1;1;0;0;d;a;7830;9;2014;1;10;2014;Mar,Jun,Sept,Dec;Hessen;50,81;9,49
707;3;29.07.2015;7,550 €;749;1;1;0;1;a;c;2900;7;1990;0;;;;Niedersachsen;53,34;10,01
708;3;29.07.2015;6,579 €;527;1;1;0;1;c;c;11470;10;2009;1;18;2014;Jan,Apr,Jul,Oct;Bayern;50,22;10,92
709;3;29.07.2015;10,473 €;1326;1;1;0;1;a;a;500;12;2010;0;;;;Baden-Wuerttemberg;47,78;8,35
710;3;29.07.2015;5,390 €;390;1;1;0;0;d;a;1500;9;2008;1;14;2011;Jan,Apr,Jul,Oct;Schleswig-Holstein;54,23;9,17
711;3;29.07.2015;6,619 €;470;1;1;0;0;d;a;17110;3;2007;1;5;2010;Jan,Apr,Jul,Oct;Niedersachsen;53,46;7,31
712;3;29.07.2015;6,805 €;579;1;1;0;0;a;a;4870;9;2007;1;45;2009;Jan,Apr,Jul,Oct;Brandenburg;52,85;13,61
713;3;29.07.2015;9,782 €;1182;1;1;0;1;a;c;220;;;1;10;2014;Jan,Apr,Jul,Oct;Bayern;48,38;10,89
714;3;29.07.2015;6,285 €;388;1;1;0;0;d;c;12070;10;2005;1;10;2013;Jan,Apr,Jul,Oct;Brandenburg;53,31;13,7
715;3;29.07.2015;8,167 €;848;1;1;0;1;a;a;14810;6;2014;0;;;;Bayern;50,29;10,23
716;3;29.07.2015;6,263 €;445;1;1;0;0;d;a;3200;1;2008;1;22;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,56;11,76
717;3;29.07.2015;6,667 €;559;1;1;0;1;d;c;310;;;1;40;2011;Jan,Apr,Jul,Oct;Bayern;48,47;11,54
718;3;29.07.2015;8,025 €;780;1;1;0;1;a;a;1100;6;2015;0;;;;Bayern;48,71;13,44
719;3;29.07.2015;6,293 €;493;1;1;0;0;c;c;8190;;;1;45;2009;Feb,May,Aug,Nov;Nordrhein-Westfalen;51,81;7,48
720;3;29.07.2015;9,004 €;769;1;1;0;1;a;c;15320;3;2011;1;14;2013;Feb,May,Aug,Nov;Baden-Wuerttemberg;48,97;9,75
721;3;29.07.2015;7,787 €;676;1;1;0;1;a;c;3590;9;2012;1;22;2012;Mar,Jun,Sept,Dec;Baden-Wuerttemberg;49,42;8,78
722;3;29.07.2015;8,348 €;1251;1;1;0;1;a;a;50;;;0;;;;Baden-Wuerttemberg;48,19;7,79
723;3;29.07.2015;10,112 €;658;1;1;0;1;d;c;5650;9;2008;1;5;2013;Feb,May,Aug,Nov;Rheinland-Pfalz;49,78;8,11
724;3;29.07.2015;6,658 €;607;1;1;0;1;d;c;5900;;;0;;;;Mecklenburg-Vorpommern;54,34;13,73
725;3;29.07.2015;6,370 €;546;1;1;0;1;d;c;17540;6;2012;0;;;;Bayern;48,15;11,62
726;3;29.07.2015;11,716 €;1032;1;1;0;1;a;c;40540;2;2002;0;;;;Schleswig-Holstein;54,49;9,83
727;3;29.07.2015;5,111 €;459;1;1;0;1;a;a;2050;3;2007;0;;;;Hessen;50,49;9,58
728;3;29.07.2015;5,992 €;448;1;1;0;0;d;a;13990;;;1;14;2011;Jan,Apr,Jul,Oct;Niedersachsen;52,89;9,33
729;3;29.07.2015;11,241 €;1016;1;1;0;1;c;c;8980;6;2011;0;;;;Nordrhein-Westfalen;51,46;7,49
730;3;29.07.2015;7,644 €;900;1;1;0;1;c;a;1190;9;2013;0;;;;Brandenburg;51,72;14,21
731;3;29.07.2015;9,860 €;923;1;1;0;1;a;a;15270;;;1;10;2014;Jan,Apr,Jul,Oct;Bayern;50,4;10,36
732;3;29.07.2015;10,847 €;1167;1;1;0;1;a;c;35280;;;0;;;;Baden-Wuerttemberg;48,8;8,58
733;3;29.07.2015;14,145 €;3184;1;1;0;1;b;b;860;10;1999;0;;;;Niedersachsen;52,95;10,52
734;3;29.07.2015;5,155 €;439;1;1;0;1;a;a;220;;;1;36;2013;Mar,Jun,Sept,Dec;Mecklenburg-Vorpommern;53,89;13,06
735;3;29.07.2015;5,604 €;537;1;1;0;1;d;c;1920;4;2005;0;;;;Rheinland-Pfalz;50,58;7,96
736;3;29.07.2015;5,461 €;517;1;1;0;0;c;c;1650;;;1;14;2011;Jan,Apr,Jul,Oct;Brandenburg;53,06;13,77
737;3;29.07.2015;5,717 €;719;1;1;0;1;a;a;100;5;2007;1;31;2013;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,67;11,26
738;3;29.07.2015;7,997 €;619;1;1;0;1;d;c;5980;10;2005;0;;;;Niedersachsen;52,54;10
739;3;29.07.2015;11,371 €;818;1;1;0;0;d;c;2770;6;2008;1;22;2011;Jan,Apr,Jul,Oct;Niedersachsen;52,21;9,1
740;3;29.07.2015;8,074 €;567;1;1;0;1;d;a;6400;3;2014;0;;;;Schleswig-Holstein;53,44;10,49
741;3;29.07.2015;8,544 €;887;1;1;0;1;d;c;11900;;;0;;;;Niedersachsen;52,46;8,29
742;3;29.07.2015;8,765 €;808;1;1;0;1;d;c;4380;;;0;;;;Schleswig-Holstein;54,03;10,39
743;3;29.07.2015;4,438 €;452;1;1;0;1;a;a;6710;11;2003;1;14;2012;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;50,82;8,11
744;3;29.07.2015;8,874 €;844;1;1;0;0;a;a;1370;12;2011;1;40;2014;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,64;11,52
745;3;29.07.2015;9,171 €;843;1;1;0;1;a;a;17650;11;2013;1;37;2009;Jan,Apr,Jul,Oct;Bayern;48,05;11,69
746;3;29.07.2015;7,315 €;560;1;1;0;1;d;c;4330;2;2011;1;35;2011;Mar,Jun,Sept,Dec;Brandenburg;52,14;14,14
747;3;29.07.2015;8,961 €;675;1;1;0;1;c;c;45740;8;2008;0;;;;Bayern;48,82;10,47
748;3;29.07.2015;5,789 €;441;1;1;0;1;d;a;2380;3;2010;1;14;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,53;12,19
749;3;29.07.2015;4,757 €;548;1;1;0;1;a;a;3410;8;2011;1;14;2015;Jan,Apr,Jul,Oct;Niedersachsen;53,23;10,79
750;3;29.07.2015;5,468 €;407;1;1;0;0;d;a;8670;2;2002;1;14;2011;Jan,Apr,Jul,Oct;Bayern;49,06;11,34
751;3;29.07.2015;3,809 €;485;1;1;0;1;a;a;650;10;2006;0;;;;Mecklenburg-Vorpommern;53,77;11,26
752;3;29.07.2015;5,636 €;430;1;1;0;1;a;a;970;3;2013;1;31;2013;Feb,May,Aug,Nov;Schleswig-Holstein;54,01;10,45
753;3;29.07.2015;7,763 €;669;1;1;0;1;d;c;540;11;2012;1;35;2010;Mar,Jun,Sept,Dec;Nordrhein-Westfalen;52,05;7,89
754;3;29.07.2015;7,993 €;855;1;1;0;1;c;c;380;5;2008;1;10;2014;Mar,Jun,Sept,Dec;Nordrhein-Westfalen;52,12;8,82
755;3;29.07.2015;11,150 €;833;1;1;0;1;d;c;13130;12;2003;0;;;;Nordrhein-Westfalen;50,93;6,8
756;3;29.07.2015;16,762 €;2162;1;1;0;1;a;c;50;;;1;40;2011;Jan,Apr,Jul,Oct;Niedersachsen;53,15;10,76
757;3;29.07.2015;7,994 €;635;1;1;0;0;a;c;3450;;;0;;;;Bayern;50,38;11,71
758;3;29.07.2015;5,845 €;638;1;1;0;0;a;c;19780;6;2008;0;;;;Hessen;51,06;8,9
759;3;29.07.2015;8,554 €;776;1;1;0;1;a;a;110;11;2012;1;31;2013;Feb,May,Aug,Nov;Niedersachsen;53,4;7,82
760;3;29.07.2015;7,619 €;1247;1;1;0;1;a;a;560;1;2011;0;;;;Thueringen;51,04;10,69
761;3;29.07.2015;9,150 €;947;1;1;0;1;a;a;2390;9;2012;0;;;;Baden-Wuerttemberg;49,17;9,12
762;3;29.07.2015;5,713 €;464;1;1;0;0;d;c;1280;;;1;10;2013;Mar,Jun,Sept,Dec;Schleswig-Holstein;54,73;8,47
763;3;29.07.2015;6,761 €;560;1;1;0;1;d;c;32240;3;2010;0;;;;Nordrhein-Westfalen;50,69;6,21
764;3;29.07.2015;4,594 €;453;1;1;0;1;a;c;26490;;;1;10;2014;Mar,Jun,Sept,Dec;Brandenburg;53,16;13
765;3;29.07.2015;10,187 €;775;1;1;0;0;a;c;25430;5;1999;1;37;2009;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,35;6,65
766;3;29.07.2015;8,180 €;658;1;1;0;0;d;c;9820;;;0;;;;Niedersachsen;53,62;7,41
767;3;29.07.2015;6,241 €;491;1;1;0;1;a;c;13080;;;0;;;;Rheinland-Pfalz;50,29;7,38
768;3;29.07.2015;13,835 €;1312;1;1;0;1;a;c;2630;9;2012;0;;;;Bayern;49,12;11,12
769;3;29.07.2015;10,717 €;2892;1;1;0;1;b;b;840;;;1;48;2012;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;52,02;7,36
770;3;29.07.2015;5,708 €;517;1;1;0;1;a;c;100;4;2015;0;;;;Bayern;47,37;10,14
771;3;29.07.2015;8,516 €;774;1;1;0;0;a;a;20640;9;2007;0;;;;Niedersachsen;53,16;10,18
772;3;29.07.2015;4,101 €;496;1;1;0;1;d;c;1850;;;0;;;;Niedersachsen;53,49;8,9
773;3;29.07.2015;5,926 €;753;1;1;0;1;a;a;200;;;0;;;;Bayern;48,35;11,21
774;3;29.07.2015;5,196 €;619;1;1;0;1;a;c;640;9;2013;0;;;;Nordrhein-Westfalen;51,24;7,24
775;3;29.07.2015;9,297 €;577;1;1;0;0;d;c;6970;12;2005;1;22;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,26;12,98
776;3;29.07.2015;5,152 €;554;1;1;0;1;c;a;700;4;2009;1;14;2011;Jan,Apr,Jul,Oct;Bayern;49,57;10,92
777;3;29.07.2015;5,489 €;379;1;1;0;0;d;c;8250;10;2004;1;10;2013;Mar,Jun,Sept,Dec;Baden-Wuerttemberg;48,67;10,15
778;3;29.07.2015;6,919 €;796;1;1;0;0;a;a;340;6;2003;1;40;2014;Jan,Apr,Jul,Oct;Sachsen;50,82;12,29
779;3;29.07.2015;8,039 €;684;1;1;0;1;a;a;16990;4;2004;0;;;;Mecklenburg-Vorpommern;53,58;14
780;3;29.07.2015;7,284 €;775;1;1;0;1;a;a;18160;;;0;;;;Baden-Wuerttemberg;48,46;7,86
781;3;29.07.2015;5,108 €;652;1;1;0;1;a;a;630;4;2007;0;;;;Niedersachsen;53,33;7,55
782;3;29.07.2015;6,150 €;507;1;1;0;1;c;c;5390;8;2003;1;1;2012;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,69;7,44
783;3;29.07.2015;6,916 €;621;1;1;0;1;d;c;15490;;;0;;;;Schleswig-Holstein;54,87;8,83
784;3;29.07.2015;7,911 €;667;1;1;0;1;a;a;560;10;2014;1;10;2014;Jan,Apr,Jul,Oct;Hessen;49,82;8,73
785;3;29.07.2015;8,176 €;579;1;1;0;1;d;c;970;7;2005;1;31;2013;Feb,May,Aug,Nov;Niedersachsen;52,67;7,6
786;3;29.07.2015;3,813 €;469;1;1;0;1;a;a;290;11;2006;1;5;2013;Feb,May,Aug,Nov;Mecklenburg-Vorpommern;53,32;12,93
787;3;29.07.2015;11,089 €;1100;1;1;0;1;c;c;3210;6;2009;0;;;;Baden-Wuerttemberg;47,9;10,09
788;3;29.07.2015;18,228 €;1572;1;1;0;1;a;c;1530;3;2013;0;;;;Bayern;50,15;10,42
789;3;29.07.2015;3,899 €;489;1;1;0;0;a;c;9770;7;2003;0;;;;Nordrhein-Westfalen;51,1;6,58
790;3;29.07.2015;7,531 €;630;1;1;0;1;d;c;9070;12;2003;0;;;;Hessen;50,32;8,61
